iter	Passed	Remaining
0	70	70370
1	113	56570
2	154	51432
3	195	48654
4	237	47267
5	278	46139
6	319	45345
7	365	45317
8	412	45421
9	457	45265
10	501	45066
11	545	44933
12	591	44938
13	634	44664
14	677	44512
15	719	44248
16	760	43974
17	813	44398
18	856	44213
19	902	44218
20	946	44106
21	989	43976
22	1033	43893
23	1077	43835
24	1120	43698
25	1162	43544
26	1205	43457
27	1247	43290
28	1287	43106
29	1327	42924
30	1368	42770
31	1407	42585
32	1447	42403
33	1488	42284
34	1528	42152
35	1568	42005
36	1610	41905
37	1650	41790
38	1692	41701
39	1730	41537
40	1771	41429
41	1813	41369
42	1853	41247
43	1894	41164
44	1934	41048
45	1975	40962
46	2013	40830
47	2054	40751
48	2095	40666
49	2134	40563
50	2174	40470
51	2215	40394
52	2252	40248
53	2293	40186
54	2331	40065
55	2371	39980
56	2411	39898
57	2450	39797
58	2489	39698
59	2529	39631
60	2572	39603
61	2615	39566
62	2654	39479
63	2694	39403
64	2736	39369
65	2776	39285
66	2817	39239
67	2858	39180
68	2900	39140
69	2942	39093
70	2980	39002
71	3022	38961
72	3064	38910
73	3109	38916
74	3147	38824
75	3187	38758
76	3229	38708
77	3269	38648
78	3307	38559
79	3346	38486
80	3385	38411
81	3422	38319
82	3461	38240
83	3500	38174
84	3545	38166
85	3585	38105
86	3625	38046
87	3665	37991
88	3705	37931
89	3746	37881
90	3784	37807
91	3824	37743
92	3864	37686
93	3901	37599
94	3939	37525
95	3979	37476
96	4018	37408
97	4057	37342
98	4096	37282
99	4168	37520
100	4214	37514
101	4261	37513
102	4313	37566
103	4354	37515
104	4395	37463
105	4435	37413
106	4474	37342
107	4514	37289
108	4555	37236
109	4595	37184
110	4636	37135
111	4675	37067
112	4713	37002
113	4755	36957
114	4794	36896
115	4835	36847
116	4878	36815
117	4918	36767
118	4950	36653
119	4988	36585
120	5027	36522
121	5068	36477
122	5107	36414
123	5145	36349
124	5183	36282
125	5221	36216
126	5258	36150
127	5301	36113
128	5341	36066
129	5381	36012
130	5419	35953
131	5462	35918
132	5501	35863
133	5553	35892
134	5595	35852
135	5634	35794
136	5671	35724
137	5711	35674
138	5751	35628
139	5789	35564
140	5826	35497
141	5868	35455
142	5905	35393
143	5942	35324
144	5982	35275
145	6022	35230
146	6062	35179
147	6103	35138
148	6141	35076
149	6185	35050
150	6214	34938
151	6255	34897
152	6291	34831
153	6329	34772
154	6369	34726
155	6412	34693
156	6453	34651
157	6492	34601
158	6530	34540
159	6570	34497
160	6612	34458
161	6653	34416
162	6694	34377
163	6734	34330
164	6778	34301
165	6819	34260
166	6857	34207
167	6896	34156
168	6936	34106
169	6982	34088
170	7021	34038
171	7058	33981
172	7096	33922
173	7133	33864
174	7172	33814
175	7210	33756
176	7249	33709
177	7281	33623
178	7320	33575
179	7356	33514
180	7394	33458
181	7432	33403
182	7472	33361
183	7511	33309
184	7548	33253
185	7583	33189
186	7622	33141
187	7662	33093
188	7701	33045
189	7741	33002
190	7780	32953
191	7824	32928
192	7863	32880
193	7900	32824
194	7938	32771
195	7978	32726
196	8015	32673
197	8055	32630
198	8094	32579
199	8130	32523
200	8169	32476
201	8211	32437
202	8252	32401
203	8295	32369
204	8333	32315
205	8376	32287
206	8416	32242
207	8455	32197
208	8495	32153
209	8533	32102
210	8573	32058
211	8612	32012
