id,Hardness
15000,5.75
15001,5.75
15002,2.25
15003,1.25
15004,2.25
15005,5.75
15006,2.25
15007,3.15
15008,2.25
15009,5.75
15010,5.75
15011,3.15
15012,3.15
15013,5.75
15014,3.15
15015,2.25
15016,5.75
15017,5.75
15018,5.75
15019,2.25
15020,5.75
15021,5.75
15022,5.75
15023,5.75
15024,5.75
15025,5.75
15026,2.25
15027,4.0
15028,5.75
15029,5.75
15030,2.25
15031,5.75
15032,1.25
15033,5.75
15034,3.15
15035,5.75
15036,2.25
15037,2.25
15038,2.25
15039,2.25
15040,4.0
15041,5.2
15042,5.75
15043,5.75
15044,5.75
15045,5.75
15046,2.25
15047,2.25
15048,5.75
15049,5.75
15050,4.0
15051,5.75
15052,5.75
15053,5.75
15054,5.75
15055,5.75
15056,2.25
15057,2.25
15058,5.75
15059,2.25
15060,5.75
15061,2.25
15062,2.25
15063,2.25
15064,5.75
15065,5.75
15066,5.2
15067,2.25
15068,5.75
15069,2.25
15070,2.25
15071,5.75
15072,5.75
15073,3.15
15074,2.25
15075,5.75
15076,5.2
15077,5.75
15078,3.15
15079,5.75
15080,5.75
15081,2.25
15082,5.75
15083,5.75
15084,2.25
15085,2.25
15086,3.15
15087,5.75
15088,5.75
15089,5.75
15090,5.75
15091,5.75
15092,2.25
15093,5.75
15094,2.25
15095,5.75
15096,2.25
15097,5.75
15098,5.75
15099,5.75
15100,5.75
15101,4.0
15102,5.75
15103,5.75
15104,5.75
15105,5.75
15106,7.0
15107,5.75
15108,5.75
15109,4.0
15110,5.75
15111,5.75
15112,4.0
15113,5.75
15114,5.75
15115,2.25
15116,5.75
15117,2.25
15118,5.75
15119,5.75
15120,5.75
15121,5.75
15122,5.75
15123,5.75
15124,4.0
15125,5.75
15126,2.25
15127,5.75
15128,5.75
15129,2.25
15130,5.75
15131,5.75
15132,4.0
15133,2.25
15134,5.75
15135,5.75
15136,5.75
15137,5.75
15138,5.75
15139,2.25
15140,5.75
15141,5.75
15142,5.75
15143,5.75
15144,5.75
15145,5.75
15146,2.25
15147,2.25
15148,5.75
15149,2.25
15150,2.25
15151,2.25
15152,5.75
15153,5.75
15154,5.75
15155,5.75
15156,2.25
15157,5.75
15158,5.75
15159,5.75
15160,2.25
15161,5.75
15162,5.75
15163,2.25
15164,5.75
15165,5.2
15166,5.75
15167,4.0
15168,5.75
15169,2.25
15170,2.25
15171,5.75
15172,7.0
15173,5.75
15174,5.75
15175,4.0
15176,5.75
15177,2.25
15178,2.25
15179,5.75
15180,5.75
15181,5.75
15182,2.25
15183,5.75
15184,2.25
15185,2.25
15186,5.75
15187,2.25
15188,5.75
15189,5.75
15190,5.75
15191,5.75
15192,5.75
15193,2.25
15194,2.25
15195,2.25
15196,7.0
15197,5.75
15198,5.75
15199,2.25
15200,4.0
15201,5.75
15202,5.75
15203,5.75
15204,5.75
15205,5.2
15206,4.0
15207,5.75
15208,5.75
15209,2.25
15210,2.25
15211,2.25
15212,2.25
15213,5.75
15214,5.75
15215,5.75
15216,5.75
15217,5.75
15218,5.75
15219,5.75
15220,5.75
15221,5.75
15222,2.25
15223,2.25
15224,5.75
15225,5.75
15226,5.75
15227,5.75
15228,4.0
15229,5.75
15230,5.75
15231,5.75
15232,5.75
15233,5.75
15234,5.75
15235,3.15
15236,4.0
15237,5.75
15238,2.25
15239,5.75
15240,5.75
15241,3.15
15242,2.25
15243,2.25
15244,5.75
15245,5.75
15246,2.25
15247,5.75
15248,5.75
15249,5.75
15250,2.25
15251,4.0
15252,4.0
15253,5.75
15254,2.25
15255,5.75
15256,2.25
15257,2.25
15258,5.75
15259,2.25
15260,7.0
15261,2.25
15262,5.75
15263,2.25
15264,4.0
15265,5.75
15266,2.25
15267,4.0
15268,5.75
15269,5.75
15270,2.25
15271,4.0
15272,5.75
15273,4.0
15274,2.25
15275,5.75
15276,5.75
15277,5.75
15278,4.0
15279,2.25
15280,3.15
15281,5.75
15282,5.75
15283,5.75
15284,2.25
15285,5.75
15286,5.75
15287,5.75
15288,3.15
15289,5.75
15290,3.15
15291,5.75
15292,5.75
15293,5.75
15294,5.75
15295,5.75
15296,2.25
15297,2.25
15298,2.25
15299,5.75
15300,5.75
15301,5.75
15302,5.75
15303,3.15
15304,2.25
15305,2.25
15306,5.75
15307,5.75
15308,5.75
15309,2.25
15310,5.75
15311,2.25
15312,2.25
15313,5.75
15314,5.75
15315,5.75
15316,5.2
15317,5.75
15318,5.75
15319,5.75
15320,2.25
15321,2.25
15322,1.25
15323,2.25
15324,5.75
15325,4.0
15326,5.75
15327,2.25
15328,5.75
15329,5.2
15330,5.75
15331,5.75
15332,5.75
15333,5.75
15334,2.25
15335,2.25
15336,4.0
15337,5.75
15338,5.75
15339,3.15
15340,5.75
15341,2.25
15342,5.75
15343,5.75
15344,3.15
15345,5.75
15346,5.75
15347,5.75
15348,2.25
15349,5.75
15350,5.75
15351,5.75
15352,5.75
15353,5.75
15354,7.0
15355,2.25
15356,5.75
15357,5.75
15358,5.75
15359,2.25
15360,5.75
15361,2.25
15362,2.25
15363,3.15
15364,3.15
15365,5.75
15366,2.25
15367,5.75
15368,4.0
15369,5.75
15370,2.25
15371,5.75
15372,2.25
15373,5.75
15374,5.75
15375,3.15
15376,5.75
15377,3.15
15378,5.75
15379,7.0
15380,5.75
15381,2.25
15382,5.75
15383,5.75
15384,5.75
15385,5.75
15386,5.75
15387,5.75
15388,5.75
15389,2.25
15390,2.25
15391,5.75
15392,2.25
15393,2.25
15394,5.75
15395,5.75
15396,5.75
15397,5.75
15398,5.75
15399,5.75
15400,5.75
15401,2.25
15402,5.75
15403,5.75
15404,5.75
15405,5.75
15406,5.75
15407,4.0
15408,5.75
15409,5.75
15410,3.15
15411,5.75
15412,2.25
15413,3.15
15414,5.75
15415,5.75
15416,5.75
15417,5.75
15418,5.75
15419,5.75
15420,5.75
15421,5.75
15422,5.75
15423,5.75
15424,5.75
15425,3.15
15426,2.25
