id,Hardness,allelectrons_Total,density_Total,allelectrons_Average,val_e_Average,atomicweight_Average,ionenergy_Average,el_neg_chi_Average,R_vdw_element_Average,R_cov_element_Average,zaratio_Average,density_Average
0,2.5,134.0,13.477328,22.8,5.0,49.496,11.17714,2.684,1.72,0.96,0.479965,2.1154
1,2.8,46.0,2.70174775,5.75,3.7647058823529416,11.434719047619048,11.6604875,2.77952380952381,1.52,0.7225,0.61443,0.0222
2,3.8,82.0,11.351332,42.0,5.0,102.82756,9.695,2.28,1.97,1.29,0.401635,5.2757
3,4.0,20.0,2.707666,10.0,4.0,20.9941265318,11.79886,2.805,1.656,0.8480000000000001,0.49901,0.67999
4,3.5,40.0,2.70324725,5.7142857142857135,3.4285714285714284,11.143164071428574,12.55187142857143,2.7357142857142853,1.5271428571428574,0.7185714285714285,0.6244042857142856,0.55823
5,6.0,190.0,19.189144,13.6,4.8,29.525338,10.73364,2.754,1.754,0.908,0.491604,1.45419
6,6.0,120.0,14.485992,12.0,4.8,24.808518,11.33044,2.855,1.705,0.914,0.498454,0.8886
7,3.8,46.0,9.133,23.0,4.0,48.7195,9.8771,2.165,1.905,1.12,0.47888,1.95335
8,6.3,106.0,11.463996000000002,15.6,4.4,31.574635600000004,11.14446,2.352,1.732,1.104,0.4820359999999999,1.4486
9,6.0,100.0,7.558488000000001,10.0,4.8,20.2988926326,12.04083,2.755,1.6309999999999998,0.91,0.498454,0.73067
10,3.0,45.0,10.9728255,21.0,4.0,45.87725,9.8771,2.115,1.905,1.12,0.47888,5.67675
11,2.5,86.0,11.351332,39.5,5.3,93.78445,9.1302,2.19,1.91,1.245,0.44942,5.50017
12,6.0,122.0,13.512992,12.2,4.8,24.808518,11.23408,2.682,1.7880000000000005,0.914,0.485063,1.12352
13,6.3,58.0,9.93196,11.0,4.8,23.170338,11.2115,2.755,1.7,0.965,0.4927189999999999,1.81103
14,5.5,93.0,20.36,31.0,4.0,69.59212799999999,9.152733333333334,1.9866666666666664,1.9,1.1933333333333334,0.4463566666666667,2.732
15,2.5,30.0,2.70174775,7.5,4.0,15.69310028,12.1934125,2.77,1.5509999999999995,0.71,0.6184925,0.6278
16,6.0,100.0,6.093996,10.0,4.8,20.016938,11.17714,2.76,1.7630000000000003,0.91,0.498984,0.75249
17,2.5,46.0,4.243996,7.6,4.0,15.69310028,11.79886,2.826,1.598,0.8480000000000001,0.4991960000000001,0.79244
18,5.5,100.0,7.143328,10.0,4.8,20.2988926326,12.04083,2.755,1.6309999999999998,0.91,0.492719,0.73425
