2025-05-27 00:29:20,388 INFO    MainThread:18772 [wandb_setup.py:_flush():70] Current SDK version is 0.19.11
2025-05-27 00:29:20,389 INFO    MainThread:18772 [wandb_setup.py:_flush():70] Configure stats pid to 18772
2025-05-27 00:29:20,389 INFO    MainThread:18772 [wandb_setup.py:_flush():70] Loading settings from C:\Users\PC\.config\wandb\settings
2025-05-27 00:29:20,389 INFO    MainThread:18772 [wandb_setup.py:_flush():70] Loading settings from C:\Users\PC\Desktop\Works\ML\ML-Competition\ML-Competition\wandb\settings
2025-05-27 00:29:20,389 INFO    MainThread:18772 [wandb_setup.py:_flush():70] Loading settings from environment variables
2025-05-27 00:29:20,389 INFO    MainThread:18772 [wandb_init.py:setup_run_log_directory():724] Logging user logs to C:\Users\PC\Desktop\Works\ML\ML-Competition\ML-Competition\wandb\run-20250527_002920-5qh43pe3\logs\debug.log
2025-05-27 00:29:20,389 INFO    MainThread:18772 [wandb_init.py:setup_run_log_directory():725] Logging internal logs to C:\Users\PC\Desktop\Works\ML\ML-Competition\ML-Competition\wandb\run-20250527_002920-5qh43pe3\logs\debug-internal.log
2025-05-27 00:29:20,389 INFO    MainThread:18772 [wandb_init.py:init():852] calling init triggers
2025-05-27 00:29:20,389 INFO    MainThread:18772 [wandb_init.py:init():857] wandb.init called with sweep_config: {}
config: {'_wandb': {}}
2025-05-27 00:29:20,389 INFO    MainThread:18772 [wandb_init.py:init():893] starting backend
2025-05-27 00:29:20,389 INFO    MainThread:18772 [wandb_init.py:init():897] sending inform_init request
2025-05-27 00:29:20,401 INFO    MainThread:18772 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=spawn, using: spawn
2025-05-27 00:29:20,402 INFO    MainThread:18772 [wandb_init.py:init():907] backend started and connected
2025-05-27 00:29:20,403 INFO    MainThread:18772 [wandb_init.py:init():1005] updated telemetry
2025-05-27 00:29:20,537 INFO    MainThread:18772 [wandb_init.py:init():1029] communicating run to backend with 90.0 second timeout
2025-05-27 00:29:20,960 INFO    MainThread:18772 [wandb_init.py:init():1104] starting run threads in backend
2025-05-27 00:29:21,083 INFO    MainThread:18772 [wandb_run.py:_console_start():2573] atexit reg
2025-05-27 00:29:21,083 INFO    MainThread:18772 [wandb_run.py:_redirect():2421] redirect: wrap_raw
2025-05-27 00:29:21,083 INFO    MainThread:18772 [wandb_run.py:_redirect():2490] Wrapping output streams.
2025-05-27 00:29:21,083 INFO    MainThread:18772 [wandb_run.py:_redirect():2513] Redirects installed.
2025-05-27 00:29:21,086 INFO    MainThread:18772 [wandb_init.py:init():1150] run started, returning control to user process
2025-05-27 00:40:24,603 INFO    MainThread:18772 [wandb_run.py:_finish():2321] finishing run roioha-ben-gurion-university-of-the-negev/smoking-prediction-xgboost/5qh43pe3
2025-05-27 00:40:24,604 INFO    MainThread:18772 [wandb_run.py:_atexit_cleanup():2538] got exitcode: 0
2025-05-27 00:40:24,604 INFO    MainThread:18772 [wandb_run.py:_restore():2520] restore
2025-05-27 00:40:24,604 INFO    MainThread:18772 [wandb_run.py:_restore():2526] restore done
2025-05-27 00:40:26,310 INFO    MainThread:18772 [wandb_run.py:_footer_history_summary_info():4188] rendering history
2025-05-27 00:40:26,312 INFO    MainThread:18772 [wandb_run.py:_footer_history_summary_info():4220] rendering summary
2025-05-27 00:40:26,313 INFO    MainThread:18772 [wandb_run.py:_footer_sync_info():4149] logging synced files
